#stage2 la trappola#

notime 1
music		data/music/lv2.ogg

panel		data/bgs/stage2/back1.gif 
panel		data/bgs/stage2/back1b.gif 
frontpanel       data/bgs/stage2/front1.gif 

wall 0 172 -80 0 80 80 1110 1000

wall 0 255 -80 0 900 900 53 22

wall 649 182 -80 0 8800 8800 1113 1122


wall 720 247 -80 0 8220 8010 300 40






order ab


spawn1  90 103
spawn2  50 103




spawn	fuoco
coords	2314 220
at	0

spawn	fuoco
coords	2314 116
at	0

spawn	fuoco
coords	2400 235
at	0

spawn	fuoco
coords	2614 115
at	0

spawn	fuoco
coords	2380 200
at	0

spawn	fuoco
coords	2500 222
at	0


spawn	DrumB
item    gold
coords	609 200
at	0


spawn	DrumB
coords	5020 200
at	0

spawn	DrumR
coords	5180 200
at	0

spawn	DrumR
coords	3225 170
at	0

spawn	DrumR
coords	4120 180
at	0

spawn	DrumR
coords	3897 190
at	0

spawn	DrumR
coords	3777 220
at	0


spawn	Gangio
coords	2414 220
at	0


spawn	biker
coords	400 177
at	55


spawn	biker
coords	400 200
at	77


spawn	greg
map     3
coords	-110 180
at	150


spawn	greg
coords	-50 180
at	150

spawn	Gangio
coords	2046 200
at	200

spawn	afro
coords	-240 190
at	220

spawn	afro
map     4
coords	-80 190
at	220

spawn	greg
map     1
coords	-220 180
at	220



wait
at 220

spawn	biker
coords	400 167
at	240


spawn	biker
coords	400 197
at	250

spawn	biker
coords	400 170
at	277




spawn	Gangio
coords	2076 210
at	500



spawn	Afro
map     3
coords	-181 180
at	1350


spawn	Afro
map     1
coords	-122 180
at	1300

spawn	Afro
map     2
coords	-166 190
at	1330

spawn	Afro
map     4
2pspawn 1
coords	-140 190
at	1330

spawn	Afro
map     5
coords	-110 180
at	1330


spawn	DrumR
coords	727 180
at	1450

spawn	DrumR
coords	727 190
at	1450


wait
at 1450



spawn	Afro
map     5
coords	-330 180
at	3150

spawn	Afro
map     4
2pSpawn 1
coords	-330 177
at	3150

spawn	Greg
map     1
coords	410 180
at	3150

spawn	Greg
map     2
coords	420 190
at	3150

spawn	Greg
coords	-50 180
at	3150

spawn	AfroBo
map     1
2pSpawn 1
coords	444 185
at	3150

wait 
at 3400






spawn	Sergente
map     1
coords	427 200
at	4050

spawn	Sergente
coords	-111 180
at	4050

spawn	Sergente
map     2
coords	444 190
at	4050

spawn	Sergente
2pspawn 1
map     3
coords	-144 190
at	4050

wait 
at 4200



spawn	Sergente
map     5
coords	444 195
at	4450

spawn	Sergente
map     4
coords	-144 180
at	4450


spawn	Afro
map     5
coords	-110 180
at	4550

spawn	Afro
map     3
2pSpawn 1
coords	-120 177
at	4550

spawn	Greg
map     5
coords	410 180
at	4550

spawn	Greg
map     4
coords	420 190
at	4550


spawn	AfroBo
map     2
2pSpawn 1
coords	444 185
at	4550

wait
at 4660
